S1_mean,S2_mean,S3_mean,S4_mean,S5_mean,S6_mean,S7_mean,S8_mean,S1_cov,S2_cov,S3_cov,S4_cov,S5_cov,S6_cov,S7_cov,S8_cov,ncpr,kappa
370.928020608702,154.6383731650727,67.31833530730016,33.26596466876739,21.95032979125588,14.873656861931766,11.522042586483826,8.882611883820916,3356.4477338706706,1014.4984078868371,418.0945165812479,271.96858369004406,243.56637050127924,141.8969863368892,138.69108394631354,80.25654021739797,0.0,0.0
362.0227015466005,142.7598362660615,69.20480521303611,33.869632808714094,22.27193593267767,15.12831270011189,11.554534525505643,8.90643256285938,3678.206932995541,1061.0728233321795,444.15047208569575,302.20224032813866,235.8654518909981,137.35864268839097,147.70459489476346,84.94117270604475,0.0,0.0
367.2454116531987,149.07247481588035,68.56870296687184,33.465968589829984,22.2537463183748,15.09912557942737,11.553743822448341,8.961036076525225,3468.280358695489,1009.7858866825521,462.92646802850084,298.71310697598756,231.03278614965376,129.84296641385887,146.79565139615377,80.40670908956714,0.0,0.0
372.20165754131426,156.10063903386254,67.19441558121622,33.06458384850542,21.905956995893927,15.05275237228756,11.51650437415821,8.922227642393095,3326.7862035917456,1064.6999898328465,445.7023202303643,270.8645463063627,219.2751165518911,139.39361597887284,144.92936295884178,86.66848283938008,0.0,0.0
356.20437765052293,136.98926265847288,69.0767427869005,33.779505408948694,22.359188317427552,15.183806448748877,11.499948251497457,8.949954104155807,3756.3776185943966,1049.610846401368,442.403101939087,319.6332674790692,225.96192899443525,135.18888801344468,141.90815821553443,89.95910556511768,0.0,0.0
376.97284541033736,160.33109218955153,67.7850795430041,32.95041669764276,22.069830558179437,15.074662544483509,11.423364170293935,8.90446596401489,3360.3355284976074,1022.2447911573768,435.48840544634135,262.5570274436376,230.82863776227816,133.46497200289505,131.42886759926628,83.70330011037346,0.0,0.0
368.59337825744,152.06307335836533,67.33515299401652,33.526322154488916,21.801745221478125,15.061105501564864,11.384641728918403,8.894195449299573,3444.9212388994692,1071.2164736562206,406.9589028269555,286.46280135185617,229.98658885799097,142.0040934163733,136.23711729941047,86.38169382222866,0.0,0.0
367.3320171425556,149.4259847734325,68.3088891660011,33.72543246933198,22.14174383067973,15.054077948062353,11.419931118613983,8.768643170917834,3473.027562053859,1116.7013793831973,422.7714160194339,283.09798144100614,208.99607178672355,134.97008913505854,144.15198324186485,78.83124933259921,0.0,0.0
382.66989337645805,165.07290098123235,68.98277638282873,33.2594508630117,21.79602356793239,14.845804358654917,11.409078731590888,8.865462973633852,3462.94040991502,961.768248355907,400.6109551213178,258.95399481273614,227.02622127913315,133.7411180156267,125.26751133015603,91.02810946330851,0.0,0.0
379.7725621830368,162.5779527090262,68.58610708188651,33.27647625151904,21.686167777640776,14.997582508064246,11.391534974912462,8.867393442815187,3548.9740501395877,984.6320532889697,396.48605158078914,266.05043945239913,241.52129897795766,135.663506027662,130.23584416751433,85.23847641043432,0.0,0.0
359.1075566474983,139.4145625220417,69.70486922160732,33.828619033427884,22.25300300012609,15.117627061835726,11.457792692503595,8.84036349607442,3536.0061049196465,995.0089515116986,469.1441299948192,309.695466204215,223.87385897968753,144.20715963133827,139.41482230471863,83.33454447152319,0.0,0.0
