S1_mean,S2_mean,S3_mean,S4_mean,S5_mean,S6_mean,S7_mean,S8_mean,S1_cov,S2_cov,S3_cov,S4_cov,S5_cov,S6_cov,S7_cov,S8_cov,ncpr,kappa
366.75803983731305,149.58694323456942,67.76841344854911,33.347691929546144,22.147363918973934,15.0165680401248,11.465030447041048,8.977360066507028,3442.345897929593,979.5734925025245,409.0834468433792,293.35977475429655,243.98983041745396,133.3369285530613,134.82542989291585,89.41486946376843,0.17000000178813934,0.6899999976158142
375.20532794807394,158.5897424667072,67.54664714816876,33.3796539384176,21.85153130073717,15.096259052737116,11.464228434053314,8.862884139208056,3491.7483536642635,987.7006802354274,461.54690175107095,267.7012904028714,238.4416404685909,139.85467112230825,129.45905559086208,83.07963058656858,0.07999999821186066,0.10999999940395355
354.0828203838208,134.9714135721628,69.02259821762318,33.77314227818986,22.37729926510633,15.118183837497094,11.535386703888163,8.906763003935987,3712.4071735881134,962.7807145993572,435.1671912314721,326.56130770010384,231.2495567737042,145.83691112489717,142.9961320187168,83.90386662723215,0.0,0.5
374.3557576476308,158.0013434441677,67.23571447685919,33.285037667502955,21.960223458194815,15.049195063684074,11.448542712968507,8.90346135326729,3403.603505455227,930.776187903937,483.5826868843063,256.2425722462111,223.77578078930833,128.468523924019,132.6133715984643,79.53363313565676,0.25,0.38999998569488525
353.0940287032254,134.45157524899562,68.76242748353938,33.598573099065085,22.26078897318061,15.148425166892675,11.491289928036801,8.875477103723805,3843.63415407486,912.0389445399568,438.7397176263655,316.61866124570844,236.73664907378065,138.73045002673726,148.30604755040423,88.36522678995914,0.0,0.5
369.9771275954504,153.3699713248541,67.75569009758813,33.116904435693364,21.918784483790184,15.002198281972824,11.414813500227005,8.982647188431562,3409.429886253812,979.5365302152479,453.1033375391654,291.3618561283288,227.27798839361176,132.02199124083302,135.1654948076799,81.39701082611774,0.07999999821186066,0.05000000074505806
359.96810063400255,140.4983100130558,69.34801314939385,33.8620763357779,22.318669386348333,15.18318623648022,11.448090540541191,8.851720281253908,3828.3136900151876,1025.581734779448,463.9796079962238,312.2545019272424,232.0671681676058,131.8117750962452,135.11213538506192,80.88673050047903,0.0,0.5
378.3667869609519,161.37652919297432,67.86425328554732,33.43090543254341,21.902463089679834,14.942823328704504,11.475719696897157,8.90741231540052,3535.9434580288,971.8643882354489,437.2932704746521,250.45055447974406,232.30593384194415,130.742148854953,133.0114271843043,88.82958532126253,-0.25,0.05000000074505806
354.0304375981717,134.95697377313158,68.97677723786573,33.7421341170537,22.303003057879348,15.07132625937966,11.535727689224132,8.929090741795665,3776.916586775114,934.1218932531149,476.36801923725426,318.07743744791384,245.5881011476499,138.57782908187377,137.60635313700456,87.14082786646716,0.07999999821186066,0.7099999785423279
366.21535951096837,147.92089500719638,68.56293622490301,33.65961844326171,22.17464399155785,15.12981702186466,11.472114290164692,8.89041451072467,3641.6797006833617,995.1072813307721,516.1608050679879,300.09728055909386,242.66540772041307,124.28929145967591,136.66131769734474,86.5661228942084,-0.07999999821186066,0.28999999165534973
