S1_mean,S2_mean,S3_mean,S4_mean,S5_mean,S6_mean,S7_mean,S8_mean,S1_cov,S2_cov,S3_cov,S4_cov,S5_cov,S6_cov,S7_cov,S8_cov,ncpr,kappa
393.6732638460489,174.93667877755274,69.97442859154359,33.36079487911073,21.88566558259818,14.924512564457103,11.353864461323337,8.834527570620057,3486.0520658106025,999.9576992827214,408.18462066633197,241.01937585566395,215.895555169525,133.69673047578308,125.76177298160336,82.8155490198265,0.0,0.0
371.48128301537497,156.06738309497015,66.81706609609921,33.00755448716367,21.85929357069305,14.896006449250267,11.415416654139353,8.910580861330274,3208.3004596255455,956.3543865574899,447.2196168308609,262.45515906216,220.4457654195911,128.06171801925476,133.21369071790878,91.52732362014946,0.0,0.0
369.047376942419,153.7810944028851,66.60992198498857,32.85485103783306,21.837897746881175,15.145619755131005,11.436936709735452,8.910003735268686,3188.1393205952263,947.1162544492826,461.49463885796524,270.2545492162761,233.935180682907,140.75777838377928,141.25655808815597,78.73610036101398,0.0,0.0
351.98873408894553,137.31270455625958,66.1225643792649,33.200183906792795,22.0713367322519,15.104331889083024,11.374218312722476,8.825380414302819,3215.747596110873,1066.914963802224,432.6544666570314,290.05060305365674,234.84065147343998,132.28734056551895,135.43381504907688,90.77323295534342,0.0,0.0
371.0481310143803,155.64804966900522,66.84425964202998,32.82278065679688,21.866838300203742,15.026107595985588,11.423625979038201,8.894893958299617,3299.8139074007167,967.5263082508599,449.8978543477803,267.4913966876561,236.39339873683048,146.1825172735127,139.79499758940696,85.93201140949854,0.0,0.0
396.11445182839657,176.86486645359105,70.40453978403212,33.40050230355714,21.88386506039139,14.939073460926103,11.366531443135951,8.85861173150637,3381.800899313122,997.6462614649334,417.45390901279495,236.37173625787653,212.45563391049666,129.15996566185171,119.23322862199613,82.04961616102644,0.0,0.0
370.2345043196309,155.0188338330655,66.6026594608759,32.72726812596684,21.92372227015626,15.19514023179876,11.424333037206498,8.88380099537058,3340.2887548272934,958.3447929432905,455.7113523996816,269.37112968184033,234.23377786917254,135.42386423598668,136.50893393854383,83.13152601121465,0.0,0.0
370.9698341984613,155.59117140441924,66.7887777657549,32.9742761286342,21.875251654211333,15.039798664562525,11.322783598306804,8.883862215562253,3119.7597646970976,996.433972693806,424.87531189745073,266.9414088702545,247.7666226431845,138.37341894898705,135.7621684141473,86.98815620541382,0.0,0.0
376.8965131592729,161.04280530982922,67.27296090366235,33.17043637675956,21.699458308743083,14.949089556370842,11.36182789140148,8.896830826194787,3281.0797708880114,991.2610788912708,443.5535417314962,249.06027025493194,252.08384983380137,139.1320196644727,128.80848058045657,86.80231419547765,0.0,0.0
361.23543958958976,144.88572191322862,67.03458588625702,33.37736781557173,22.038137676688457,15.193941526629004,11.410910763311753,8.883777414721807,3225.503920412373,998.3877731806919,476.8819821208613,289.8257142698601,244.2275913753775,138.78627381756775,137.93442903424673,87.75540904217094,0.0,0.0
